Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
its-H01_S159_L001_R2_001	its-H01_S159_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	528984.0	132.1 Mbp	0.0	35-251	56.0	4.236233988173555	250.08196845273204	251	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
its-H02_S167_L001_R1_001	its-H02_S167_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	739714.0	184.5 Mbp	0.0	35-251	54.0	5.5441697737233575	249.93696888256812	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
its-H02_S167_L001_R2_001	its-H02_S167_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	739714.0	184.4 Mbp	0.0	35-251	53.0	3.7619945005772504	249.30024441878888	251	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
its-H03_S175_L001_R1_001	its-H03_S175_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	850281.0	212.6 Mbp	0.0	35-251	52.0	2.629130840275156	250.4833061070399	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
its-H03_S175_L001_R2_001	its-H03_S175_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	850281.0	213 Mbp	0.0	35-251	51.0	2.910920037023055	250.58008470141047	251	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
its-H04_S183_L001_R1_001	its-H04_S183_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	938337.0	234.6 Mbp	0.0	35-251	54.0	2.6280536736801383	250.5684109227282	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
its-H04_S183_L001_R2_001	its-H04_S183_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	938337.0	234.8 Mbp	0.0	35-251	53.0	2.7353711939313916	250.39397252799367	251	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
its-H05_S191_L001_R1_001	its-H05_S191_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	845224.0	211.1 Mbp	0.0	35-251	48.0	2.7177410958515136	249.88755880098057	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
its-H05_S191_L001_R2_001	its-H05_S191_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	845224.0	211 Mbp	0.0	35-251	48.0	3.029966020841812	249.8615384797403	251	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
its-H06_S199_L001_R1_001	its-H06_S199_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	940608.0	234.8 Mbp	0.0	35-251	51.0	2.3507135810029256	250.19623371266246	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
its-H06_S199_L001_R2_001	its-H06_S199_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	940608.0	235 Mbp	0.0	35-251	51.0	2.5898142478056747	249.7669114019868	251	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
